                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1773,                 3.9347,                 1.9883,                0.39314,                    0.2,                0.19947,                0.06261,                 2.2945,                 4.8567,                 2.3001,              1.111e-05,              1.111e-05,              1.111e-05
                      2,                 2.0909,                 3.9278,                 1.9185,                    0.4,                 0.1951,                0.19957,                0.06601,                 2.2913,                 4.9463,                   2.27,              3.267e-05,              3.267e-05,              3.267e-05
                      3,                 2.0665,                 3.9953,                 1.9215,                    0.4,                0.10924,                0.18725,                 0.0723,                 2.1884,                 4.2945,                 2.1021,              5.335e-05,              5.335e-05,              5.335e-05
                      4,                 1.9879,                 3.3422,                 1.8315,                0.53706,                0.18948,                 0.1846,                0.09975,                 2.0554,                 3.6602,                 1.8518,              7.315e-05,              7.315e-05,              7.315e-05
                      5,                 1.6656,                 2.5523,                 1.6353,                0.99699,                    0.2,                0.31062,                0.20639,                 1.8493,                 2.9388,                 1.6381,             9.2071e-05,             9.2071e-05,             9.2071e-05
                      6,                 1.4154,                 1.8296,                 1.4543,                 0.9171,                0.29005,                0.36404,                0.25746,                 1.6076,                 2.2272,                 1.4333,             0.00011011,             0.00011011,             0.00011011
                      7,                 1.3251,                 1.4679,                 1.3966,                 0.2838,                 0.5774,                0.42717,                0.29526,                 1.4099,                 2.7693,                 1.3233,             0.00012727,             0.00012727,             0.00012727
                      8,                 1.2167,                 1.2451,                 1.3496,                0.67386,                 0.5946,                0.54414,                0.36277,                 1.2598,                  3.031,                 1.2158,             0.00014355,             0.00014355,             0.00014355
                      9,                  1.229,                 1.1358,                 1.3101,                0.81681,                0.56404,                0.61378,                0.45599,                 1.1499,                 2.9912,                 1.1638,             0.00015895,             0.00015895,             0.00015895
                     10,                 1.1853,                0.99958,                 1.2464,                0.79221,                0.60413,                0.65397,                0.48447,                 1.1073,                 3.0156,                 1.0899,             0.00017347,             0.00017347,             0.00017347
                     11,                 1.0618,                 1.0063,                 1.2128,                0.80813,                0.59047,                0.66679,                0.48295,                   1.05,                 2.2899,                 1.0433,             0.00018711,             0.00018711,             0.00018711
                     12,                 1.0655,                0.88808,                  1.173,                0.82288,                0.64059,                0.75672,                0.53055,                 1.0329,                 1.8749,                 1.0455,             0.00019988,             0.00019988,             0.00019988
                     13,                 1.0005,                0.82737,                 1.1561,                0.82205,                0.71429,                0.78575,                0.53135,                 1.0363,                 1.6816,                  1.054,             0.00021176,             0.00021176,             0.00021176
                     14,                 1.0088,                0.84855,                 1.1612,                0.78574,                0.73803,                0.80953,                0.55143,                 1.0201,                 1.4687,                  1.045,             0.00022276,             0.00022276,             0.00022276
                     15,                0.99849,                0.80072,                 1.1366,                0.66329,                    0.8,                 0.7922,                0.51912,                 1.0773,                 1.2977,                 1.0656,             0.00023288,             0.00023288,             0.00023288
                     16,                0.98275,                 0.7868,                 1.1405,                0.68422,                0.80871,                0.81768,                0.55304,                 1.0864,                 1.4223,                 1.0573,             0.00024212,             0.00024212,             0.00024212
                     17,                 0.9728,                0.75836,                 1.1257,                0.68504,                0.84134,                0.83225,                0.56863,                 1.0701,                 1.4975,                 1.0516,             0.00025048,             0.00025048,             0.00025048
                     18,                0.97279,                0.76677,                 1.1376,                0.70345,                0.85714,                0.86675,                 0.5912,                 1.0189,                 1.3041,                 1.0217,             0.00025796,             0.00025796,             0.00025796
                     19,                0.97977,                0.76515,                 1.1115,                0.72075,                0.81789,                0.83338,                0.59392,                 1.0256,                 1.2741,                 1.0325,             0.00026456,             0.00026456,             0.00026456
                     20,                0.98762,                0.74979,                 1.1062,                0.76908,                0.79054,                0.83465,                0.57208,                 1.0281,                  1.211,                 1.0673,             0.00027029,             0.00027029,             0.00027029
                     21,                0.97076,                0.74742,                 1.1009,                0.82597,                0.76366,                0.84587,                0.58037,                  1.037,                 1.2033,                 1.0872,             0.00027513,             0.00027513,             0.00027513
                     22,                  0.913,                0.68279,                 1.0819,                0.77634,                0.84726,                0.86052,                0.57659,                 1.0275,                 1.1666,                 1.0737,             0.00027909,             0.00027909,             0.00027909
                     23,                0.92857,                0.68417,                 1.0803,                0.77733,                0.89863,                0.87666,                0.58346,                 1.0465,                 1.1999,                 1.0768,             0.00028217,             0.00028217,             0.00028217
                     24,                0.92392,                0.68279,                  1.078,                0.79757,                0.84205,                0.89208,                0.61026,                 1.0398,                0.98662,                 1.0391,             0.00028437,             0.00028437,             0.00028437
                     25,                0.94368,                0.68621,                 1.0823,                0.86835,                0.81211,                0.90676,                0.60399,                 1.0841,                 1.0913,                 1.0828,              0.0002857,              0.0002857,              0.0002857
                     26,                0.92193,                0.65535,                  1.054,                 0.8206,                0.84744,                0.88803,                0.58625,                 1.0628,                 1.0342,                 1.0364,             0.00028614,             0.00028614,             0.00028614
                     27,                0.95435,                0.66672,                 1.0951,                0.85735,                0.82407,                 0.8688,                0.57209,                 1.0862,                0.80938,                 1.0738,              0.0002857,              0.0002857,              0.0002857
                     28,                0.90366,                0.66674,                 1.0651,                0.84657,                0.85863,                0.88511,                0.59733,                 1.0354,                0.82171,                 1.0556,             0.00028438,             0.00028438,             0.00028438
                     29,                0.90225,                0.65765,                 1.0723,                0.86164,                0.85372,                0.87534,                0.60096,                 1.0663,                0.84297,                 1.0677,             0.00028219,             0.00028219,             0.00028219
                     30,                0.85825,                0.61651,                  1.057,                0.84918,                 0.8683,                0.86519,                0.60719,                 1.0655,                0.81359,                   1.06,             0.00027911,             0.00027911,             0.00027911
                     31,                0.88645,                0.66876,                 1.0735,                0.85415,                0.83991,                0.85511,                0.59921,                 1.0687,                0.78513,                  1.059,             0.00027515,             0.00027515,             0.00027515
                     32,                0.88085,                0.61177,                 1.0503,                0.85797,                0.83314,                0.85188,                0.62002,                 1.0475,                0.77581,                 1.0441,             0.00027031,             0.00027031,             0.00027031
                     33,                0.88324,                0.62771,                 1.0659,                0.84514,                 0.8294,                0.84988,                0.62571,                  1.016,                0.75974,                 1.0288,              0.0002646,              0.0002646,              0.0002646
                     34,                0.89084,                0.61676,                  1.047,                0.83206,                0.81009,                  0.851,                0.62413,                 1.0219,                0.76548,                 1.0207,               0.000258,               0.000258,               0.000258
                     35,                0.84836,                0.60852,                 1.0705,                0.77115,                0.84158,                0.85664,                0.60147,                 1.0515,                0.80424,                 1.0251,             0.00025052,             0.00025052,             0.00025052
                     36,                0.89847,                0.61425,                 1.0932,                0.75746,                0.84328,                0.85576,                0.60234,                 1.0649,                0.79031,                 1.0303,             0.00024216,             0.00024216,             0.00024216
                     37,                0.84167,                0.58261,                 1.0542,                0.80125,                0.79016,                 0.8508,                0.60629,                 1.0533,                0.79638,                 1.0318,             0.00023293,             0.00023293,             0.00023293
                     38,                0.81953,                0.57543,                  1.022,                0.80379,                    0.8,                0.84867,                0.60388,                 1.0436,                0.75144,                 1.0524,             0.00022281,             0.00022281,             0.00022281
                     39,                 0.8887,                0.58484,                 1.0535,                0.83853,                0.81836,                0.84981,                0.60243,                 1.0314,                0.74851,                 1.0674,             0.00021181,             0.00021181,             0.00021181
                     40,                0.85935,                0.60578,                 1.0619,                0.84569,                0.86168,                0.90013,                0.59444,                 1.0234,                0.75662,                  1.068,             0.00019994,             0.00019994,             0.00019994
                     41,                0.86855,                0.64558,                 1.0312,                0.84419,                0.86116,                0.89413,                0.60241,                 1.0213,                0.72036,                 1.0666,             0.00018718,             0.00018718,             0.00018718
                     42,                0.83161,                0.61448,                 1.0266,                 0.8453,                0.86069,                0.89137,                0.60333,                 1.0259,                  0.729,                 1.0778,             0.00017354,             0.00017354,             0.00017354
                     43,                0.82105,                0.57992,                 1.0053,                0.82554,                0.86251,                0.88193,                0.59843,                 1.0639,                0.75725,                 1.1103,             0.00015903,             0.00015903,             0.00015903
                     44,                0.80076,                 0.6107,                 1.0393,                0.83081,                0.82913,                0.88182,                 0.5887,                 1.0981,                0.76668,                 1.1467,             0.00014363,             0.00014363,             0.00014363
                     45,                 0.8004,                0.58202,                 1.0187,                 0.8291,                0.86002,                0.86848,                0.58286,                 1.1085,                0.78639,                 1.1712,             0.00012736,             0.00012736,             0.00012736
                     46,                0.82119,                0.56102,                 1.0145,                0.85731,                0.86283,                0.86852,                0.58725,                 1.1123,                0.79837,                 1.1857,              0.0001102,              0.0001102,              0.0001102
                     47,                0.80814,                 0.5483,                 1.0135,                 0.8658,                0.87324,                0.86852,                0.58704,                  1.098,                0.79958,                 1.1723,             9.2164e-05,             9.2164e-05,             9.2164e-05
                     48,                0.81454,                0.54735,                 1.0011,                0.87354,                0.87859,                0.87373,                0.58896,                 1.0784,                 0.8036,                 1.1595,             7.3248e-05,             7.3248e-05,             7.3248e-05
                     49,                0.77651,                0.53841,                0.99125,                0.88125,                0.88235,                0.88069,                0.60568,                 1.0604,                0.80014,                 1.1403,             5.3452e-05,             5.3452e-05,             5.3452e-05
                     50,                  0.778,                 0.5203,                 0.9878,                0.88517,                0.88342,                0.88161,                0.61076,                  1.052,                0.78205,                 1.1328,             3.2777e-05,             3.2777e-05,             3.2777e-05
