                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9016,                 3.0039,                 1.8053,                0.23718,                0.38344,                0.35687,                0.19582,                 1.8042,                 2.9737,                 1.5375,             0.00034441,             0.00034441,             0.00034441
                      2,                   1.48,                 1.7066,                 1.5139,                0.52735,                0.32857,                 0.3609,                0.25246,                 1.4498,                 3.7626,                  1.379,             0.00068607,             0.00068607,             0.00068607
                      3,                 1.5117,                 1.5344,                 1.4793,                 0.7146,                0.64286,                0.65078,                 0.3446,                 1.5786,                  4.079,                  1.432,              0.0010137,              0.0010137,              0.0010137
                      4,                 1.5406,                 1.6051,                  1.483,                0.44702,                0.54113,                  0.509,                0.31674,                 1.4327,                 2.0601,                 1.3641,               0.001045,               0.001045,               0.001045
                      5,                 1.4785,                 1.5243,                 1.4403,                0.70839,                0.55425,                0.59593,                0.37687,                 1.3507,                 1.7188,                  1.316,               0.001045,               0.001045,               0.001045
                      6,                 1.4698,                 1.4122,                 1.4452,                0.75046,                0.52857,                0.63342,                0.40153,                 1.3704,                 1.9989,                 1.3452,               0.001023,               0.001023,               0.001023
                      7,                 1.3871,                 1.3112,                 1.4126,                0.58687,                0.78571,                0.73267,                0.45856,                 1.2648,                 1.4647,                 1.2591,               0.001001,               0.001001,               0.001001
                      8,                 1.4042,                 1.2474,                 1.4265,                0.64131,                0.83811,                0.72316,                0.44781,                 1.2443,                 1.4492,                 1.2244,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.4518,                 1.2982,                 1.4407,                0.69582,                0.82478,                0.75201,                0.45155,                 1.2297,                 1.4646,                 1.2047,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.2916,                 1.1952,                 1.3508,                  0.725,                0.84158,                0.75618,                0.47471,                  1.252,                 1.1568,                 1.2433,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.3204,                 1.0989,                 1.3527,                0.85415,                0.75714,                0.82567,                0.52112,                 1.1959,                 1.0692,                 1.2306,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.2617,                   1.12,                 1.3514,                0.83823,                0.76257,                0.84752,                0.54148,                 1.2029,                 1.1215,                 1.2263,             0.00089102,             0.00089102,             0.00089102
                     13,                  1.301,                 1.1201,                 1.3672,                0.76677,                    0.8,                0.84152,                0.53671,                 1.2287,                 1.1621,                 1.2305,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.2746,                 1.0569,                  1.327,                 0.7352,                0.73335,                0.78835,                0.51533,                 1.2275,                 1.0727,                 1.2139,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.2682,                 1.0739,                 1.3118,                0.73088,                 0.7258,                0.75709,                0.49242,                 1.1547,                  1.037,                 1.1717,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.2161,                 1.0813,                 1.3267,                0.68103,                0.74977,                0.76296,                0.50834,                 1.1367,                 1.0163,                 1.1726,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.2191,                 1.0624,                  1.348,                 0.6854,                0.85419,                0.85266,                0.54432,                 1.1511,                  1.006,                 1.1807,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.1906,                0.94492,                 1.2765,                0.78345,                0.86478,                 0.8443,                0.55046,                 1.1192,                0.97655,                 1.1647,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.1746,                0.94017,                 1.2654,                0.80093,                0.85361,                0.82715,                0.56734,                 1.0628,                0.87547,                 1.1398,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.1639,                0.94142,                 1.2654,                0.78776,                0.82857,                0.83293,                0.56943,                  1.048,                 0.8418,                 1.1312,             0.00071504,             0.00071504,             0.00071504
                     21,                  1.171,                0.96792,                 1.2554,                0.76687,                0.83719,                0.84331,                0.57034,                  1.072,                0.83816,                 1.1419,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.1318,                0.94032,                 1.2529,                0.78064,                0.82857,                0.84987,                0.54527,                   1.11,                0.84994,                 1.1574,             0.00067104,             0.00067104,             0.00067104
                     23,                 1.2139,                0.95408,                  1.278,                0.86615,                0.81284,                0.86627,                0.54237,                 1.1565,                0.86483,                 1.1817,             0.00064905,             0.00064905,             0.00064905
                     24,                 1.1931,                0.99311,                 1.3205,                0.79154,                0.85714,                0.85414,                 0.5419,                 1.1679,                0.88635,                 1.1906,             0.00062705,             0.00062705,             0.00062705
                     25,                 1.1505,                0.92873,                 1.2683,                0.79278,                0.85714,                0.86494,                0.55781,                 1.1342,                0.89054,                 1.1777,             0.00060505,             0.00060505,             0.00060505
                     26,                  1.105,                 0.9326,                 1.2439,                0.77584,                0.84883,                0.86404,                0.58303,                 1.0852,                 0.8668,                 1.1416,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.0947,                0.87822,                 1.2211,                0.75543,                0.84286,                0.85835,                0.57977,                 1.0723,                0.82326,                  1.126,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.0808,                 0.8966,                 1.2388,                0.82892,                0.82098,                 0.8673,                0.58893,                 1.0619,                0.79196,                 1.1075,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.0613,                0.89265,                 1.2379,                0.83542,                    0.8,                0.86635,                  0.588,                 1.0478,                0.78166,                 1.0935,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.0725,                0.85975,                 1.1906,                 0.7993,                  0.869,                0.86432,                0.58394,                 1.0521,                0.78405,                 1.1041,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.0458,                0.83295,                 1.2131,                0.83187,                0.87609,                0.87013,                0.58429,                 1.0529,                0.79626,                 1.1055,             0.00047306,             0.00047306,             0.00047306
