                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8709,                 2.8084,                 1.7798,                0.33051,                0.42857,                0.37513,                0.26008,                  1.613,                 2.7597,                 1.3658,             0.00036446,             0.00036446,             0.00036446
                      2,                 1.5088,                 1.5761,                 1.5232,                 0.3929,                0.39445,                0.43991,                0.21745,                 2.0364,                 3.3862,                 1.6065,             0.00073442,             0.00073442,             0.00073442
                      3,                 1.6414,                 1.6285,                 1.5482,                0.21716,                0.57143,                0.37811,                0.21133,                 2.0493,                 5.2914,                 1.6479,               0.001104,               0.001104,               0.001104
                      4,                 1.6697,                 1.8654,                 1.5576,                0.68537,                0.53841,                0.57695,                0.24514,                  1.928,                 3.8697,                 1.5673,              0.0011094,              0.0011094,              0.0011094
                      5,                 1.6402,                 1.6806,                 1.5475,                0.41123,                0.68397,                0.61829,                0.34711,                 1.6521,                 3.9896,                  1.379,              0.0011094,              0.0011094,              0.0011094
                      6,                 1.6646,                 1.6554,                 1.5561,                0.75095,                0.52857,                0.54237,                0.32087,                 1.5096,                 2.4211,                 1.3368,              0.0011088,              0.0011088,              0.0011088
                      7,                   1.62,                 1.5289,                 1.5547,                0.51723,                0.72857,                0.61715,                0.38436,                 1.4439,                 1.6045,                 1.3258,              0.0011083,              0.0011083,              0.0011083
                      8,                 1.5322,                 1.4575,                 1.5271,                 0.6679,                0.67143,                0.68664,                0.39941,                 1.5578,                  1.322,                 1.4031,              0.0011077,              0.0011077,              0.0011077
                      9,                 1.4807,                 1.5061,                 1.4728,                0.73126,                0.61607,                0.66377,                 0.4076,                 1.5065,                 1.4632,                 1.3861,              0.0011072,              0.0011072,              0.0011072
                     10,                 1.4612,                 1.4724,                 1.4993,                0.75308,                0.65736,                0.76195,                0.47057,                 1.3574,                 1.2549,                 1.2973,              0.0011066,              0.0011066,              0.0011066
                     11,                 1.4725,                   1.33,                 1.4701,                0.61055,                0.77143,                0.71698,                0.43722,                 1.3462,                 1.2751,                 1.2739,              0.0011061,              0.0011061,              0.0011061
                     12,                 1.4864,                 1.3367,                 1.5112,                0.59717,                0.74948,                0.67342,                 0.4219,                 1.3085,                 1.4093,                 1.2781,              0.0011055,              0.0011055,              0.0011055
                     13,                 1.4381,                 1.3386,                 1.4894,                0.61494,                0.68602,                0.66914,                0.42909,                 1.2759,                 1.3611,                 1.2557,               0.001105,               0.001105,               0.001105
                     14,                 1.4492,                  1.241,                 1.4785,                0.64639,                0.79213,                 0.7427,                0.47113,                 1.2713,                 1.3468,                 1.2466,              0.0011044,              0.0011044,              0.0011044
                     15,                 1.4349,                 1.2325,                 1.4398,                 0.8899,                0.69966,                0.78438,                0.49548,                  1.312,                 1.3732,                 1.2672,              0.0011039,              0.0011039,              0.0011039
                     16,                 1.3853,                 1.1575,                 1.4463,                0.60198,                0.84286,                0.78549,                0.48909,                 1.3042,                 1.3903,                 1.2306,              0.0011033,              0.0011033,              0.0011033
                     17,                 1.4203,                 1.2056,                 1.4699,                0.64589,                0.79985,                 0.7429,                0.47755,                 1.3087,                 1.3977,                 1.2477,              0.0011028,              0.0011028,              0.0011028
                     18,                 1.4204,                 1.1643,                 1.4187,                0.69943,                0.82628,                 0.7383,                0.47669,                 1.3255,                 1.3334,                 1.2565,              0.0011022,              0.0011022,              0.0011022
                     19,                 1.3444,                 1.1238,                 1.4209,                0.60535,                0.78571,                 0.7187,                0.46785,                 1.2739,                 1.5877,                 1.2301,              0.0011017,              0.0011017,              0.0011017
                     20,                 1.3359,                 1.1387,                 1.4166,                0.54268,                0.80779,                0.70985,                0.47874,                 1.1753,                 1.5243,                 1.1954,              0.0011011,              0.0011011,              0.0011011
                     21,                 1.2737,                 1.2494,                 1.3276,                0.66316,                0.81862,                0.80512,                0.51377,                 1.1968,                 1.3796,                 1.2027,              0.0011006,              0.0011006,              0.0011006
                     22,                 1.3173,                 1.0545,                 1.3713,                0.80274,                0.78555,                0.82374,                0.55186,                 1.1431,                 1.2468,                 1.1812,                 0.0011,                 0.0011,                 0.0011
                     23,                 1.3574,                 1.0523,                 1.4077,                0.75667,                0.83375,                0.82795,                0.55343,                 1.1017,                 1.2198,                 1.1519,              0.0010995,              0.0010995,              0.0010995
                     24,                 1.2941,                 1.0175,                  1.387,                0.75777,                0.85258,                0.81214,                0.54656,                 1.1411,                 1.2278,                 1.1841,              0.0010989,              0.0010989,              0.0010989
