                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8709,                 2.8084,                 1.7798,                0.33051,                0.42857,                0.37513,                0.26008,                  1.613,                 2.7597,                 1.3658,             0.00036446,             0.00036446,             0.00036446
                      2,                 1.5077,                  1.573,                 1.5231,                0.34344,                0.46022,                0.44857,                0.22238,                  2.033,                  3.339,                 1.6038,             0.00072751,             0.00072751,             0.00072751
                      3,                 1.6357,                  1.621,                 1.5465,                0.25759,                0.55742,                0.40836,                0.21246,                 2.0496,                  5.083,                 1.6455,              0.0010832,              0.0010832,              0.0010832
                      4,                 1.6555,                 1.8569,                 1.5492,                0.42395,                0.64746,                0.58686,                0.25301,                 1.9847,                  4.357,                 1.5968,               0.001078,               0.001078,               0.001078
                      5,                 1.6113,                 1.6424,                 1.5315,                0.45593,                0.58571,                0.59225,                0.35323,                 1.6132,                 3.2895,                 1.3802,               0.001078,               0.001078,               0.001078
                      6,                 1.6433,                 1.6672,                 1.5441,                0.59171,                0.49036,                0.54768,                0.31645,                 1.5117,                 2.7048,                 1.3566,               0.001067,               0.001067,               0.001067
                      7,                 1.6447,                 1.5589,                 1.5845,                0.40946,                0.78571,                0.63182,                0.40073,                  1.503,                 1.7026,                 1.3918,               0.001056,               0.001056,               0.001056
                      8,                 1.5595,                 1.4495,                 1.5656,                0.52776,                0.71325,                 0.6728,                 0.3783,                 1.7095,                 1.9372,                 1.5261,               0.001045,               0.001045,               0.001045
                      9,                 1.5103,                 1.4643,                 1.5221,                0.70193,                 0.7265,                0.72728,                0.41604,                 1.4714,                 1.4038,                 1.3852,               0.001034,               0.001034,               0.001034
                     10,                 1.4965,                 1.4085,                 1.5301,                0.72259,                0.72383,                0.74131,                0.41394,                 1.4856,                 1.2607,                 1.3811,               0.001023,               0.001023,               0.001023
                     11,                 1.4763,                 1.3301,                 1.4933,                0.68699,                0.73475,                0.72572,                0.40936,                  1.435,                 1.3948,                 1.3529,               0.001012,               0.001012,               0.001012
                     12,                 1.4818,                 1.3021,                 1.4934,                0.66112,                0.80505,                 0.7372,                0.44222,                   1.32,                 1.2897,                 1.2805,               0.001001,               0.001001,               0.001001
                     13,                 1.4505,                 1.3218,                 1.4843,                0.62297,                0.88324,                0.75098,                0.44978,                 1.2127,                 1.2447,                   1.23,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.4438,                 1.2232,                 1.4556,                0.67931,                 0.8136,                0.78593,                 0.4733,                 1.3215,                 1.2432,                  1.288,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.4156,                 1.2289,                 1.4255,                0.75226,                0.81713,                0.79942,                0.51235,                 1.2304,                 1.2525,                 1.2394,             0.00096801,             0.00096801,             0.00096801
                     16,                  1.366,                 1.1375,                 1.4279,                0.65073,                0.79724,                0.81683,                0.52583,                 1.2198,                 1.3639,                  1.202,             0.00095702,             0.00095702,             0.00095702
                     17,                  1.376,                 1.1562,                 1.4575,                0.68603,                0.79454,                 0.8092,                0.51815,                 1.2695,                 1.3856,                 1.2128,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.3512,                 1.1383,                 1.3927,                0.78114,                 0.8381,                0.83768,                0.51705,                 1.3353,                 1.4033,                 1.2513,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.2954,                 1.0923,                 1.3975,                0.77732,                0.80718,                0.80777,                0.51932,                 1.3012,                 1.6365,                 1.2439,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.2981,                 1.1204,                 1.3915,                0.70438,                0.80283,                0.83697,                0.53713,                 1.2448,                 1.5942,                 1.2161,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.2387,                 1.1873,                 1.3022,                0.75153,                0.79466,                0.84095,                0.52252,                 1.1909,                 1.6466,                 1.1854,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.2749,                 0.9962,                 1.3538,                  0.777,                0.80412,                0.85026,                 0.5439,                 1.1933,                 1.5456,                 1.2057,             0.00089102,             0.00089102,             0.00089102
                     23,                  1.265,                 1.0445,                 1.3407,                0.78501,                0.79256,                0.85539,                0.55614,                 1.1602,                 1.5541,                 1.1695,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.2662,                 1.0067,                  1.358,                0.82146,                 0.7602,                0.83184,                0.56996,                 1.1278,                 1.2933,                 1.1457,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.1856,                0.97114,                 1.2887,                0.75776,                0.82784,                 0.8216,                0.56515,                 1.1161,                 1.3954,                 1.1455,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.2007,                0.99201,                 1.3498,                0.76986,                0.91897,                0.85773,                0.57371,                 1.1476,                 1.2777,                 1.1725,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.1887,                0.95505,                 1.3334,                0.77572,                0.87143,                0.85722,                0.56887,                 1.1792,                 1.4241,                  1.193,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.1565,                0.96107,                 1.3057,                0.73192,                0.85391,                0.82887,                 0.5569,                 1.1932,                 1.4676,                 1.1904,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.1245,                0.97664,                 1.2939,                 0.7828,                0.87751,                0.85632,                0.57282,                 1.1366,                  1.354,                 1.1603,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.1552,                 0.9433,                 1.2731,                0.81061,                0.81112,                0.83549,                0.57436,                 1.0897,                 1.5333,                 1.1298,             0.00080303,             0.00080303,             0.00080303
                     31,                  1.147,                0.91014,                  1.283,                0.81206,                0.84434,                0.85092,                0.58287,                 1.0737,                 1.3378,                 1.1067,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.1223,                0.95222,                 1.3008,                0.79509,                0.86548,                0.84186,                0.58826,                 1.0561,                 1.2234,                 1.1037,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.1533,                0.92113,                 1.2895,                0.78378,                0.82857,                0.83376,                0.57626,                 1.0639,                 1.4226,                 1.1078,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.0827,                0.86699,                 1.2529,                0.76099,                0.83814,                0.83088,                0.58294,                 1.0475,                 1.4749,                 1.0974,             0.00075904,             0.00075904,             0.00075904
                     35,                  1.098,                0.87721,                 1.2559,                0.80696,                0.84286,                0.83568,                0.57806,                 1.0115,                 1.3296,                 1.0734,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.0599,                0.86505,                 1.2549,                0.80767,                0.85714,                 0.8462,                0.59322,                0.98976,                 1.1422,                 1.0605,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.0903,                0.88183,                 1.2738,                0.80271,                0.86958,                0.85572,                0.59297,                 0.9951,                 1.1325,                 1.0653,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.0496,                 0.8512,                 1.2439,                0.80448,                0.84286,                0.85181,                0.58105,                 1.0073,                 1.2553,                 1.0756,             0.00071504,             0.00071504,             0.00071504
                     39,                0.99853,                0.83902,                 1.2335,                 0.8323,                0.88571,                0.85358,                0.57876,                 1.0194,                  1.268,                 1.0804,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.0616,                0.82529,                  1.246,                0.81411,                 0.8722,                0.85265,                0.57169,                 1.0375,                 1.3241,                 1.0985,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.0526,                0.81945,                 1.2615,                 0.7776,                0.85714,                0.81691,                0.56254,                 1.0525,                 1.2599,                 1.1054,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.0735,                0.84505,                 1.2388,                0.80847,                0.86456,                0.82285,                0.57141,                 1.0326,                 1.1812,                 1.0901,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.0396,                0.83692,                 1.2576,                  0.849,                0.84286,                0.85007,                0.57696,                  1.037,                 1.2434,                 1.0791,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.0269,                0.82107,                 1.2313,                0.85999,                0.85714,                0.87383,                0.60216,                 1.0176,                 1.1985,                  1.072,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.0356,                  0.842,                 1.2076,                0.86426,                0.87143,                0.85956,                0.60546,                 1.0178,                 1.1855,                  1.075,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.0335,                0.81012,                 1.2335,                0.87294,                0.87143,                0.85742,                0.60727,                0.98606,                 1.1333,                 1.0621,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.0167,                0.76676,                 1.2361,                0.86737,                0.88525,                0.89225,                0.63019,                0.95723,                 1.1532,                 1.0507,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.0047,                0.80986,                 1.2092,                0.89192,                0.87183,                0.89068,                0.62461,                 0.9646,                 1.0647,                 1.0565,             0.00060505,             0.00060505,             0.00060505
                     49,                0.98402,                0.74472,                 1.1949,                0.89069,                 0.8783,                0.89541,                0.62341,                0.98283,                  1.073,                 1.0665,             0.00059405,             0.00059405,             0.00059405
                     50,                0.97542,                0.78629,                 1.1861,                0.90328,                 0.8698,                0.90501,                0.61482,                0.98206,                0.97535,                  1.064,             0.00058305,             0.00058305,             0.00058305
                     51,                0.96807,                0.75715,                 1.1931,                0.88038,                0.85625,                 0.8838,                0.64508,                0.95942,                 1.0027,                 1.0516,             0.00057205,             0.00057205,             0.00057205
                     52,                0.94744,                0.75956,                 1.2039,                0.88199,                0.88966,                0.90461,                0.64688,                0.97727,                0.98341,                 1.0641,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0056,                0.79937,                 1.2045,                  0.886,                0.87602,                0.88933,                0.64739,                0.95758,                 1.0455,                 1.0491,             0.00055006,             0.00055006,             0.00055006
                     54,                0.97889,                0.73219,                 1.1814,                  0.886,                0.87602,                0.88933,                0.64739,                0.95758,                 1.0455,                 1.0491,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.0004,                0.76003,                 1.1724,                0.85883,                0.90032,                0.90859,                0.63525,                0.97113,                 1.0698,                 1.0545,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0302,                  0.802,                 1.2151,                0.81093,                0.89912,                0.88808,                 0.6154,                0.99525,                 1.1525,                 1.0608,             0.00051706,             0.00051706,             0.00051706
                     57,                  1.027,                0.79147,                 1.2202,                0.79206,                0.90947,                0.89369,                 0.6042,                  1.028,                 1.1954,                 1.0831,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0711,                0.85951,                 1.2319,                0.81018,                0.91062,                0.88949,                0.60974,                 1.0337,                 1.2275,                 1.0913,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.0668,                0.79963,                  1.265,                0.81519,                0.91401,                0.88683,                0.60091,                 1.0705,                 1.2667,                 1.1152,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.1034,                0.79049,                 1.2403,                0.87162,                0.86989,                0.88801,                0.59457,                 1.0848,                  1.064,                 1.1445,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.0639,                0.79738,                 1.2158,                0.85573,                0.92222,                0.93254,                0.58897,                  1.099,                 1.1675,                 1.1462,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.0707,                0.82221,                 1.2598,                0.87247,                0.87031,                0.91764,                0.56645,                 1.1344,                 1.2401,                 1.1584,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.1108,                0.81094,                 1.2798,                0.81382,                0.90696,                0.89911,                0.55735,                 1.1693,                 1.1611,                 1.1774,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.0749,                0.82722,                 1.2501,                0.81434,                0.88571,                0.88354,                0.55464,                 1.1418,                   1.19,                 1.1709,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.0376,                0.79887,                 1.2169,                0.85754,                0.87122,                0.88849,                0.56349,                 1.1256,                 1.1427,                 1.1597,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.0358,                0.78372,                 1.2346,                0.85459,                    0.9,                0.90886,                0.58402,                 1.0539,                 1.1015,                 1.1253,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.0439,                0.78118,                 1.2007,                0.83833,                    0.9,                 0.9034,                0.59596,                 1.0179,                 0.9832,                 1.0865,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.0258,                0.80646,                 1.2248,                0.80375,                0.90162,                 0.8975,                0.61799,                 1.0153,                 1.1181,                 1.0694,             0.00038507,             0.00038507,             0.00038507
                     69,                  1.045,                0.81524,                  1.227,                0.83831,                0.89788,                0.91557,                0.62364,                 1.0173,                 1.0939,                 1.0682,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.0536,                0.80482,                 1.2379,                0.82879,                0.88283,                0.89925,                0.61965,                 1.0172,                 1.0854,                 1.0736,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.0389,                0.78763,                 1.2149,                0.82603,                0.85999,                0.88167,                0.60663,                      1,                 1.1025,                  1.058,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.0089,                0.79652,                 1.2192,                0.86679,                0.81618,                0.87792,                0.60431,                0.99774,                 1.0569,                 1.0576,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.0112,                0.81052,                  1.247,                 0.8908,                0.81471,                0.87984,                0.61741,                0.99598,                  1.091,                 1.0625,             0.00033008,             0.00033008,             0.00033008
                     74,                0.97357,                0.72972,                 1.1908,                0.81292,                0.85326,                0.87271,                0.60963,                 1.0098,                 1.1074,                 1.0675,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.0089,                0.78859,                 1.2281,                0.90952,                0.82769,                 0.8983,                 0.6074,                 1.0281,                 1.0692,                 1.0796,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.0204,                0.74178,                 1.2437,                 0.8662,                0.88425,                0.91044,                0.63301,                 1.0049,                 1.0751,                 1.0693,             0.00029708,             0.00029708,             0.00029708
                     77,                0.99044,                0.72935,                 1.2119,                0.90395,                0.87193,                0.90991,                0.64772,                0.97304,                0.94557,                 1.0585,             0.00028608,             0.00028608,             0.00028608
                     78,                0.94026,                0.75188,                 1.1905,                0.93102,                0.87167,                0.90925,                0.64279,                0.92831,                 1.0014,                 1.0376,             0.00027508,             0.00027508,             0.00027508
                     79,                 0.9714,                0.71053,                 1.2079,                0.91167,                0.86662,                0.89954,                0.64339,                0.90235,                 1.0831,                  1.026,             0.00026408,             0.00026408,             0.00026408
