                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0737,                 3.5333,                 1.8931,                0.97392,                0.12857,                0.22325,                0.13012,                 1.9335,                 3.0931,                  1.775,             0.00013332,             0.00013332,             0.00013332
                      2,                 1.6121,                 1.9736,                 1.5463,                0.40559,                0.47143,                0.34289,                0.21182,                 1.6249,                 4.1579,                  1.546,             0.00027761,             0.00027761,             0.00027761
                      3,                 1.3512,                 1.3222,                 1.3592,                 0.7293,                0.69796,                0.74728,                0.46894,                 1.2344,                 2.5493,                  1.191,             0.00042176,             0.00042176,             0.00042176
                      4,                  1.272,                 1.1986,                 1.3315,                0.67386,                0.71812,                0.68516,                0.46164,                 1.1138,                 2.0029,                 1.0887,             0.00056577,             0.00056577,             0.00056577
                      5,                 1.2561,                 1.1491,                 1.2732,                0.66405,                0.76333,                0.75269,                 0.5063,                 1.1046,                  2.174,                 1.0792,             0.00070963,             0.00070963,             0.00070963
                      6,                 1.2726,                 1.0907,                 1.2835,                 0.7363,                0.79009,                0.81739,                0.52186,                 1.2237,                 2.0827,                 1.1232,             0.00085335,             0.00085335,             0.00085335
                      7,                 1.2706,                  1.113,                 1.2683,                0.71256,                0.81064,                 0.8074,                 0.5058,                 1.1894,                 1.6566,                 1.1151,             0.00099693,             0.00099693,             0.00099693
                      8,                 1.2335,                 1.0899,                 1.2596,                0.88658,                 0.7415,                0.81797,                0.48958,                 1.2401,                 1.5608,                 1.1655,              0.0011072,              0.0011072,              0.0011072
                      9,                 1.3723,                 1.1323,                 1.3136,                0.65472,                0.77872,                0.75125,                0.42783,                 1.4853,                 1.6997,                 1.2831,              0.0011072,              0.0011072,              0.0011072
                     10,                 1.4193,                  1.254,                 1.3399,                0.61441,                0.73504,                0.72434,                0.41284,                 1.5149,                 1.4802,                 1.3119,              0.0011066,              0.0011066,              0.0011066
                     11,                 1.4028,                 1.2142,                 1.3271,                0.64824,                0.77121,                0.74566,                0.44694,                  1.385,                 1.2554,                 1.2471,              0.0011061,              0.0011061,              0.0011061
